,Unnamed: 0,userId,venueId,venueCategoryId,venueCategory,latitude,longitude,neighborhood_id,Manhattan,competitors,rating,review_count,rent,unsupervised_score,price,half-mile_sub_count
21,21,284,4abe60d8f964a520198d20e3,4bf58dd8d48988d1e0931735,Coffee Shop,40.74281621,-74.00040611,200,1,0.921568627,0.703703704,0.121189024,0.85900047,0.030079202,0.333333333,0.744897959
23,23,803,4c955b3558d4b60c06d03129,4bf58dd8d48988d12d951735,Ferry,40.76067265,-74.00367709,199,1,1,0.722222222,0.169969512,0.828206869,0.029443798,0.2,0.040816327
24,24,699,4ba0e0edf964a520138437e3,4bf58dd8d48988d124941735,Office,40.736676,-73.98891,134,1,0.960784314,0.740740741,0.563897358,0,0.077374494,0.366666667,0.632653061
25,25,100,4bc308db4cdfc9b639bf9621,4bf58dd8d48988d1e5941735,Other Great Outdoors,40.79059947,-73.98023378,195,1,0.980392157,0.735042735,0.216463415,0.651237953,0.02852878,0.446153846,0.183673469
26,26,642,4d9a2f78d97ba1430b43336b,4bf58dd8d48988d130941735,Building,40.75230661,-73.97185432,62,1,0.882352941,0.675213675,0.294910882,0.754960405,0.055866032,0.353846154,0.520408163
28,28,689,4c5ef77bfff99c74eda954d3,4bf58dd8d48988d118951735,Food & Drink Shop,40.74186151,-73.98943363,75,1,0.980392157,0.755555556,0.185060976,0.655179693,0.035680561,0.2,0.867346939
29,29,390,4bcde547511f95210d62b5c7,4bf58dd8d48988d124941735,Office,40.75094552,-74.00563392,167,1,0.960784314,0.611111111,0.150914634,0.882430762,0.026572066,0.6,0.132653061
30,30,32,44af9feef964a5202b351fe3,4bf58dd8d48988d1c1941735,Mexican Restaurant,40.74773817,-73.98519815,47,1,0.823529412,0.777777778,0.43117378,0.535931886,0.06987141,0.3,0.969387755
31,31,230,3fd66200f964a52035e41ee3,4bf58dd8d48988d1e5931735,Music Venue,40.731698,-73.98922694,277,1,0.921568627,0.827956989,0.696105429,0.571930069,0.088852695,0.264516129,0.428571429
32,32,445,4b3a8e5df964a520d86925e3,4bf58dd8d48988d1fd931735,Subway,40.82650767,-73.95039082,13,1,0.941176471,0.793650794,0.030270035,0.923604946,0.026745755,0.6,0.204081633
34,34,962,40b68100f964a5207d001fe3,4bf58dd8d48988d163941735,Park,40.74218831,-73.98792419,75,1,0.980392157,0.755555556,0.185060976,0.655179693,0.035680561,0.2,0.867346939
37,38,962,40e74880f964a520150a1fe3,4bf58dd8d48988d16c941735,Burger Joint,40.7414075,-73.98843795,75,1,0.980392157,0.755555556,0.185060976,0.655179693,0.035680561,0.2,0.867346939
39,40,1047,4ad607d3f964a520a10421e3,4bf58dd8d48988d10a951735,Bank,40.77807781,-73.95449162,261,1,0.843137255,0.777777778,0.187901155,0.886852229,0.073640797,0.368421053,0.163265306
40,41,738,4c06877bcf8c76b0f09b3a65,4bf58dd8d48988d124941735,Office,40.72817168,-74.00752187,147,1,0.960784314,0.777777778,0.22179878,0.512594217,0.061213083,0.4,0.275510204
41,42,364,4b7718d4f964a520077d2ee3,4bf58dd8d48988d1f2941735,Sporting Goods Shop,40.77901409,-73.95403862,261,1,0.843137255,0.777777778,0.187901155,0.886852229,0.073640797,0.368421053,0.163265306
43,44,839,4cd03669c5b39eb043fb5a16,4bf58dd8d48988d111951735,Jewelry Store,40.75062326,-73.99004187,254,1,0.882352941,0.722222222,0.223323171,0.85900047,0.081872967,0.45,0.867346939
45,46,751,49b15042f964a520d4521fe3,4bf58dd8d48988d1e0931735,Coffee Shop,40.727612,-74.007306,147,1,0.960784314,0.777777778,0.22179878,0.512594217,0.061213083,0.4,0.275510204
46,47,1047,4ca66eec5a1e952129d98ace,4bf58dd8d48988d103951735,Clothing Store,40.77843897,-73.95451458,261,1,0.843137255,0.777777778,0.187901155,0.886852229,0.073640797,0.368421053,0.163265306
48,49,612,447bf8f1f964a520ec331fe3,4bf58dd8d48988d122951735,Electronics Store,40.76391921,-73.97313996,110,1,0.921568627,0.777777778,1,0.558651163,0.064846372,0.142857143,0.989795918
52,53,718,4d98393cb7bf2c0f9ff5ea2d,4bf58dd8d48988d1fe931735,Bus Station,40.81721954,-73.94790173,13,1,0.941176471,0.793650794,0.030270035,0.923604946,0.026745755,0.6,0.204081633
54,55,15,4b0d88b2f964a5206d4a23e3,4bf58dd8d48988d1dd931735,Soup Place,40.785679,-73.972834,195,1,0.980392157,0.735042735,0.216463415,0.651237953,0.02852878,0.446153846,0.183673469
58,59,280,4bdb4bf54b1f952169ac670b,4bf58dd8d48988d118951735,Food & Drink Shop,40.73971083,-73.98251798,264,1,0.921568627,0.777777778,0.213700457,0.824185771,0.065094558,0.4,0.459183673
59,60,318,4b093cd0f964a520db1423e3,4bf58dd8d48988d1fd931735,Subway,40.7509958,-73.99068832,254,1,0.882352941,0.722222222,0.223323171,0.85900047,0.081872967,0.45,0.867346939
60,61,839,41102700f964a520d60b1fe3,4bf58dd8d48988d1f6941735,Department Store,40.75061379,-73.98856401,47,1,0.823529412,0.777777778,0.43117378,0.535931886,0.06987141,0.3,0.969387755
64,65,276,4ab11744f964a520046820e3,4bf58dd8d48988d146941735,Deli / Bodega,40.75110146,-73.98130059,47,1,0.823529412,0.777777778,0.43117378,0.535931886,0.06987141,0.3,0.969387755
65,66,135,4cd028a77b6854810ac7bff8,4bf58dd8d48988d124941735,Office,40.708515,-74.007282,155,1,0.980392157,0.654320988,0.117716802,0.741315183,0.02369549,0.511111111,0.979591837
67,68,612,4ae8495ef964a5207fae21e3,4bf58dd8d48988d1e0931735,Coffee Shop,40.76260087,-73.9660057,205,1,0.980392157,0.777777778,0.474847561,0.765000783,0.074442707,0,0.326530612
70,71,445,4c1d0f98c09ed13ad4c5828e,4bf58dd8d48988d12b951735,Bus Station,40.80463955,-73.93786213,231,1,1,0.802469136,0.029302168,0.881049779,0.013581219,0.466666667,0.112244898
72,73,318,4c8e9b251992a1cd211edffb,4bf58dd8d48988d1ae941735,University,40.74790921,-73.98380928,47,1,0.823529412,0.777777778,0.43117378,0.535931886,0.06987141,0.3,0.969387755
75,76,639,4c671f759cb82d7fd1d192d2,4bf58dd8d48988d110951735,Salon / Barbershop,40.77536339,-73.955705,2,1,0.980392157,0.766666667,0.330335366,0.715101088,0.033941418,0.24,0.224489796
76,78,713,4a7a0832f964a5203ce81fe3,4bf58dd8d48988d1c1941735,Mexican Restaurant,40.745245,-73.982692,264,1,0.921568627,0.777777778,0.213700457,0.824185771,0.065094558,0.4,0.459183673
79,81,803,4c56f9ad30d82d7f3cbcd862,4bf58dd8d48988d174941735,Office,40.74697652,-73.98325259,47,1,0.823529412,0.777777778,0.43117378,0.535931886,0.06987141,0.3,0.969387755
84,86,438,4c1a2bbf838020a1adc4e661,4bf58dd8d48988d124941735,Office,40.7514116,-73.97994108,62,1,0.882352941,0.675213675,0.294910882,0.754960405,0.055866032,0.353846154,0.520408163
85,87,217,4af42a00f964a52055f021e3,4bf58dd8d48988d124941735,Office,40.75539132,-73.97425915,62,1,0.882352941,0.675213675,0.294910882,0.754960405,0.055866032,0.353846154,0.520408163
91,93,226,462a6065f964a520d9451fe3,4bf58dd8d48988d14e941735,American Restaurant,40.75821277,-73.98682594,15,1,0.941176471,0.765432099,0.33553523,0.745986428,0.034413025,0.377777778,1
92,94,164,4f7b49bbe4b00fc6db78ec89,4bf58dd8d48988d124941735,Office,40.76235954,-73.97223886,110,1,0.921568627,0.777777778,1,0.558651163,0.064846372,0.142857143,0.989795918
94,96,235,4a8ae51ef964a520c10a20e3,4bf58dd8d48988d1e0931735,Coffee Shop,40.74546291,-73.99098305,75,1,0.980392157,0.755555556,0.185060976,0.655179693,0.035680561,0.2,0.867346939
97,99,881,4f4767e3e4b06a7740bdc8dd,4bf58dd8d48988d130941735,Building,40.80870048,-73.95851531,186,1,0.921568627,0.785185185,0.161382114,0.843449905,0.063668741,0.333333333,0.153061224
98,100,713,45c76421f964a52066421fe3,4bf58dd8d48988d1e0931735,Coffee Shop,40.74404465,-73.98373696,264,1,0.921568627,0.777777778,0.213700457,0.824185771,0.065094558,0.4,0.459183673
103,105,1005,3fd66200f964a52004e61ee3,4bf58dd8d48988d154941735,Cuban Restaurant,40.7228417,-73.99411647,6,1,0.960784314,0.833333333,0.377477134,0.625786562,0.058374649,0.1,0.43877551
106,108,912,4ee6e1970e61681b98844283,4bf58dd8d48988d11a941735,Other Nightlife,40.74623905,-73.98058961,295,1,0.941176471,0.765432099,0.108739837,0.733667554,0.056899813,0.4,0.193877551
107,109,537,4f68c7b0e4b0c15ca3e46388,4bf58dd8d48988d124941735,Office,40.75931346,-73.97849478,110,1,0.921568627,0.777777778,1,0.558651163,0.064846372,0.142857143,0.989795918
108,110,406,3fd66200f964a5209ee41ee3,4bf58dd8d48988d1c1941735,Mexican Restaurant,40.72828342,-73.987885,277,1,0.921568627,0.827956989,0.696105429,0.571930069,0.088852695,0.264516129,0.428571429
109,111,868,3fd66200f964a52067e51ee3,4bf58dd8d48988d1c5941735,Sandwich Place,40.738553,-73.987393,264,1,0.921568627,0.777777778,0.213700457,0.824185771,0.065094558,0.4,0.459183673
110,112,1055,4c0b32d37e3fc928650bf582,4f2a25ac4b909258e854f55f,Neighborhood,40.77352188,-73.9567852,2,1,0.980392157,0.766666667,0.330335366,0.715101088,0.033941418,0.24,0.224489796
111,113,751,4b609666f964a520f9ee29e3,4bf58dd8d48988d1c1941735,Mexican Restaurant,40.72862394,-74.005252,147,1,0.960784314,0.777777778,0.22179878,0.512594217,0.061213083,0.4,0.275510204
113,115,303,49e2afb2f964a5204d621fe3,4bf58dd8d48988d1e0931735,Coffee Shop,40.77834721,-73.980903,38,1,0.921568627,0.666666667,0.293902439,0.628028153,0.067991698,0.2,0.193877551
115,117,793,43695300f964a5208c291fe3,4bf58dd8d48988d130941735,Building,40.74828059,-73.98556262,47,1,0.823529412,0.777777778,0.43117378,0.535931886,0.06987141,0.3,0.969387755
117,119,793,4b4b7979f964a520249d26e3,4bf58dd8d48988d198941735,College Academic Building,40.74837051,-73.98568869,47,1,0.823529412,0.777777778,0.43117378,0.535931886,0.06987141,0.3,0.969387755
123,125,294,45d1a484f964a520af421fe3,4bf58dd8d48988d1e0931735,Coffee Shop,40.74277821,-73.99833798,200,1,0.921568627,0.703703704,0.121189024,0.85900047,0.030079202,0.333333333,0.744897959
125,127,1055,4f24316fe4b063d400403adc,4bf58dd8d48988d1f5941735,Food & Drink Shop,40.78280364,-73.95175936,261,1,0.843137255,0.777777778,0.187901155,0.886852229,0.073640797,0.368421053,0.163265306
126,128,615,40abf500f964a52035f31ee3,4bf58dd8d48988d163941735,Park,40.73083612,-73.99764061,293,1,0.941176471,0.869281046,0.414185796,0.595801347,0.085455369,0.364705882,0.469387755
128,130,615,4caf3aa3b4b0a35db3273fce,4bf58dd8d48988d162941735,Other Great Outdoors,40.730769,-73.9974505,293,1,0.941176471,0.869281046,0.414185796,0.595801347,0.085455369,0.364705882,0.469387755
132,134,292,4a3d4aecf964a52012a21fe3,4bf58dd8d48988d132941735,Church,40.75850534,-73.97652626,110,1,0.921568627,0.777777778,1,0.558651163,0.064846372,0.142857143,0.989795918
137,139,7,4ace59d0f964a5200ad020e3,4bf58dd8d48988d118951735,Food & Drink Shop,40.774111,-73.959546,2,1,0.980392157,0.766666667,0.330335366,0.715101088,0.033941418,0.24,0.224489796
138,140,592,49c27575f964a520f1551fe3,4bf58dd8d48988d1fa941735,Food & Drink Shop,40.73652697,-73.99055958,134,1,0.960784314,0.740740741,0.563897358,0,0.077374494,0.366666667,0.632653061
139,142,574,4c6b02f46d390f4717d3099a,4bf58dd8d48988d198941735,College Academic Building,40.7356185,-73.99721414,293,1,0.941176471,0.869281046,0.414185796,0.595801347,0.085455369,0.364705882,0.469387755
141,144,436,4bc7afbc14d7952160ee67e9,4d1cf8421a97d635ce361c31,Tanning Salon,40.74434648,-73.99543065,200,1,0.921568627,0.703703704,0.121189024,0.85900047,0.030079202,0.333333333,0.744897959
142,145,636,4bc7ab4c14d79521c6e367e9,4bf58dd8d48988d1fa931735,Hotel,40.70924712,-74.01355147,29,1,0.960784314,0.688888889,0.122408537,0.77762502,0.032687045,0.4,0.806122449
143,146,865,49e7c7c6f964a5201b651fe3,4bf58dd8d48988d1ae941735,University,40.7111095,-74.00504351,155,1,0.980392157,0.654320988,0.117716802,0.741315183,0.02369549,0.511111111,0.979591837
148,151,591,4e4d9c17814dd49447e709e1,4bf58dd8d48988d1e0931735,Coffee Shop,40.72555133,-73.99476528,6,1,0.960784314,0.833333333,0.377477134,0.625786562,0.058374649,0.1,0.43877551
149,152,976,4eb0fd2d0cd6283498fc07ce,4bf58dd8d48988d162941735,Other Great Outdoors,40.7125896,-74.00632024,155,1,0.980392157,0.654320988,0.117716802,0.741315183,0.02369549,0.511111111,0.979591837
151,154,783,4a888403f964a520bb0620e3,4bf58dd8d48988d175941735,Gym / Fitness Center,40.738949,-73.989828,134,1,0.960784314,0.740740741,0.563897358,0,0.077374494,0.366666667,0.632653061
155,158,107,4a494ce4f964a5202cab1fe3,4bf58dd8d48988d1ae941735,University,40.74019488,-73.98346494,264,1,0.921568627,0.777777778,0.213700457,0.824185771,0.065094558,0.4,0.459183673
158,161,718,4d983945b7bf2c0febf5ea2d,4bf58dd8d48988d1fe931735,Bus Station,40.82670252,-73.95129204,13,1,0.941176471,0.793650794,0.030270035,0.923604946,0.026745755,0.6,0.204081633
159,162,557,49f6850af964a5204c6c1fe3,4bf58dd8d48988d142941735,Asian Restaurant,40.7495279,-73.9947032,254,1,0.882352941,0.722222222,0.223323171,0.85900047,0.081872967,0.45,0.867346939
160,163,725,4b150df9f964a52011a823e3,4bf58dd8d48988d124941735,Office,40.74914242,-73.97505118,62,1,0.882352941,0.675213675,0.294910882,0.754960405,0.055866032,0.353846154,0.520408163
162,165,976,4c0e90c57189c928ccb5d8b6,4bf58dd8d48988d12b951735,Bus Station,40.71885936,-73.98790956,187,1,0.784313725,0.816425121,0.525053022,0.523787143,0.09785353,0.460869565,0.214285714
163,166,880,4e6f593d88779c905de9cfa7,4bf58dd8d48988d13b941735,School,40.791172,-73.944024,87,1,0.921568627,0.728888889,0.032621951,0.858109861,0.091685865,0.552,0.142857143
164,167,1055,4b2da0ddf964a520c9d924e3,4f2a25ac4b909258e854f55f,Neighborhood,40.78911988,-73.97335052,195,1,0.980392157,0.735042735,0.216463415,0.651237953,0.02852878,0.446153846,0.183673469
165,168,288,42829c80f964a5206a221fe3,4bf58dd8d48988d129951735,Train Station,40.75280621,-73.97717535,62,1,0.882352941,0.675213675,0.294910882,0.754960405,0.055866032,0.353846154,0.520408163
168,171,769,4edac72c61af8a14b6d7f7a2,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),40.79924638,-73.93220767,231,1,1,0.802469136,0.029302168,0.881049779,0.013581219,0.466666667,0.112244898
171,175,100,4a451759f964a520c3a71fe3,4bf58dd8d48988d1f6931735,General Travel,40.770849,-73.98224824,265,1,1,0.777777778,0.6125,0.826506751,0.06397799,0.28,0.346938776
172,176,403,4ab6c985f964a5200a7920e3,4bf58dd8d48988d1fa931735,Hotel,40.71980773,-74.00992625,292,1,0.941176471,0.530864198,0.14803523,0.748289728,0.101105121,0.422222222,0.816326531
174,178,445,4c34e81009a99c7406490c2a,4bf58dd8d48988d10f951735,Drugstore / Pharmacy,40.73447832,-73.99024844,134,1,0.960784314,0.740740741,0.563897358,0,0.077374494,0.366666667,0.632653061
179,183,539,4c1836421436a593271a8d75,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),40.7575648,-73.96864592,256,1,0.882352941,0.753968254,0.212652439,0.782408133,0.051084249,0.3,0.37755102
181,185,184,4a06f10df964a5200c731fe3,4bf58dd8d48988d146941735,Deli / Bodega,40.72098907,-73.98104875,40,1,0.960784314,0.827160494,0.092649051,0.557722975,0.090400893,0.422222222,0.081632653
186,191,71,481dfa3af964a5207f4f1fe3,4bf58dd8d48988d1fa931735,Hotel,40.75261955,-73.99336294,254,1,0.882352941,0.722222222,0.223323171,0.85900047,0.081872967,0.45,0.867346939
187,192,688,4cdc8c7699026dcb4a0c1481,4bf58dd8d48988d175941735,Gym / Fitness Center,40.74404732,-73.98402737,264,1,0.921568627,0.777777778,0.213700457,0.824185771,0.065094558,0.4,0.459183673
189,194,885,4a8a998af964a5202b0a20e3,4bf58dd8d48988d1e0931735,Coffee Shop,40.70964742,-74.0105173,29,1,0.960784314,0.688888889,0.122408537,0.77762502,0.032687045,0.4,0.806122449
190,195,885,4a954328f964a520cf2220e3,4bf58dd8d48988d124941735,Office,40.70972827,-74.01076978,29,1,0.960784314,0.688888889,0.122408537,0.77762502,0.032687045,0.4,0.806122449
191,196,592,4b44a049f964a5201cf825e3,4bf58dd8d48988d1fd931735,Subway,40.70491221,-74.01401281,29,1,0.960784314,0.688888889,0.122408537,0.77762502,0.032687045,0.4,0.806122449
195,200,880,4b9ad23ef964a52006d935e3,4bf58dd8d48988d16e941735,Fast Food Restaurant,40.78986319,-73.94593309,87,1,0.921568627,0.728888889,0.032621951,0.858109861,0.091685865,0.552,0.142857143
196,201,592,4a734456f964a520f8db1fe3,4bf58dd8d48988d1e0931735,Coffee Shop,40.703253,-74.01422739,29,1,0.960784314,0.688888889,0.122408537,0.77762502,0.032687045,0.4,0.806122449
198,203,615,41575800f964a5202f1d1fe3,4bf58dd8d48988d108941735,Dumpling Restaurant,40.72741096,-73.9847218,277,1,0.921568627,0.827956989,0.696105429,0.571930069,0.088852695,0.264516129,0.428571429
202,207,445,4bae5fb6f964a520b4a93be3,4bf58dd8d48988d112941735,Bar,40.731786,-73.983701,184,1,1,0.777777778,0.210873984,0.678695145,0.044301489,0.4,0.081632653
203,208,516,4f297e04a17c6fd5208ea108,4bf58dd8d48988d116941735,Bar,40.75884666,-73.98955107,81,1,0.901960784,0.73015873,0.52820122,0.854408177,0.030092349,0.257142857,0.724489796
206,212,592,4165d880f964a5207e1d1fe3,4e74f6cabd41c4836eac4c31,Ferry,40.70145732,-74.01321429,29,1,0.960784314,0.688888889,0.122408537,0.77762502,0.032687045,0.4,0.806122449
207,213,30,4df0e57e1f6ea135c65cfd1c,4bf58dd8d48988d124941735,Office,40.72434796,-73.99731874,6,1,0.960784314,0.833333333,0.377477134,0.625786562,0.058374649,0.1,0.43877551
209,215,246,4ca0e01c27d3bfb78dfc3a67,4bf58dd8d48988d110951735,Salon / Barbershop,40.76050819,-73.96744635,256,1,0.882352941,0.753968254,0.212652439,0.782408133,0.051084249,0.3,0.37755102
210,216,669,4a1de847f964a520aa7b1fe3,4bf58dd8d48988d1c9941735,Ice Cream Shop,40.74763189,-73.98638613,47,1,0.823529412,0.777777778,0.43117378,0.535931886,0.06987141,0.3,0.969387755
211,217,246,4a34038ef964a520929b1fe3,4bf58dd8d48988d112951735,Hardware Store,40.76147154,-73.96677375,256,1,0.882352941,0.753968254,0.212652439,0.782408133,0.051084249,0.3,0.37755102
212,218,515,4d633c7da45b548145c8ff2c,4bf58dd8d48988d1f2931735,Performing Arts Venue,40.72603917,-73.9820838,40,1,0.960784314,0.827160494,0.092649051,0.557722975,0.090400893,0.422222222,0.081632653
214,220,615,4e300d723151250387b61125,4bf58dd8d48988d1c9941735,Ice Cream Shop,40.72634865,-73.98415715,277,1,0.921568627,0.827956989,0.696105429,0.571930069,0.088852695,0.264516129,0.428571429
217,223,145,4b7ec75ff964a520bafe2fe3,4bf58dd8d48988d177941735,Medical Center,40.72435967,-73.99747938,6,1,0.960784314,0.833333333,0.377477134,0.625786562,0.058374649,0.1,0.43877551
220,226,557,4a299005f964a520a8951fe3,4bf58dd8d48988d163941735,Park,40.74866718,-73.98837626,47,1,0.823529412,0.777777778,0.43117378,0.535931886,0.06987141,0.3,0.969387755
223,229,313,4ce84192d99f721e0067af73,4bf58dd8d48988d10c941735,French Restaurant,40.76170986,-73.96013969,101,1,0.921568627,0.744444444,0.083231707,0.733979686,0.059441759,0.52,0.193877551
226,232,798,4b7dce5af964a520cad52fe3,4bf58dd8d48988d129951735,Train Station,40.82527366,-73.92996311,233,1,0.980392157,0.733333333,0.01554878,0.91617781,0.066904931,0.6,0.112244898
228,234,598,4ecc046b0e61aaf0384f19c4,4bf58dd8d48988d1e0931735,Coffee Shop,40.7394648,-74.00265604,31,1,1,0.733333333,0.207926829,0.78335348,0.077517593,0.36,0.418367347
230,236,195,4a9fb11cf964a520343d20e3,4bf58dd8d48988d1ae941735,University,40.8102201,-73.96047592,186,1,0.921568627,0.785185185,0.161382114,0.843449905,0.063668741,0.333333333,0.153061224
233,239,662,45a62f89f964a52003411fe3,4bf58dd8d48988d142941735,Asian Restaurant,40.71800153,-73.9902829,187,1,0.784313725,0.816425121,0.525053022,0.523787143,0.09785353,0.460869565,0.214285714
235,242,592,4c1a94bcb4e62d7f0c08d893,4e51a0c0bd41d3446defbb2e,Ferry,40.69977177,-74.01339054,29,1,0.960784314,0.688888889,0.122408537,0.77762502,0.032687045,0.4,0.806122449
237,244,756,4a8c017df964a520dc0c20e3,4bf58dd8d48988d124941735,Office,40.75269756,-73.99003613,254,1,0.882352941,0.722222222,0.223323171,0.85900047,0.081872967,0.45,0.867346939
238,245,100,4b8359e0f964a520830331e3,4bf58dd8d48988d115951735,Bike Shop,40.79456207,-73.97116184,56,1,0.941176471,0.688888889,0.198704268,0.651237953,0.04768427,0.34,0.153061224
241,248,615,3fd66200f964a520def11ee3,4bf58dd8d48988d163941735,Park,40.7352825,-73.99040315,134,1,0.960784314,0.740740741,0.563897358,0,0.077374494,0.366666667,0.632653061
242,249,615,4ec56c366c254debeb50c1c4,4bf58dd8d48988d1e4941735,Campground,40.73506259,-73.99080514,134,1,0.960784314,0.740740741,0.563897358,0,0.077374494,0.366666667,0.632653061
243,250,318,4bd5c40b5631c9b61ea4a430,4bf58dd8d48988d103951735,Clothing Store,40.74871699,-73.98815949,47,1,0.823529412,0.777777778,0.43117378,0.535931886,0.06987141,0.3,0.969387755
245,252,669,4a69f764f964a5204bcc1fe3,4bf58dd8d48988d1bc941735,Cupcake Shop,40.70554075,-74.00825638,155,1,0.980392157,0.654320988,0.117716802,0.741315183,0.02369549,0.511111111,0.979591837
253,260,318,4bf6c8bfabdaef3b6b5aa184,4bf58dd8d48988d107951735,Clothing Store,40.75003444,-73.98903755,254,1,0.882352941,0.722222222,0.223323171,0.85900047,0.081872967,0.45,0.867346939
257,265,84,4bcdc2bf68f976b03abb6483,4bf58dd8d48988d1bd941735,Salad Place,40.75323992,-73.97408696,62,1,0.882352941,0.675213675,0.294910882,0.754960405,0.055866032,0.353846154,0.520408163
258,266,129,4b8411c4f964a520bd1e31e3,4bf58dd8d48988d124941735,Office,40.75005298,-73.97360802,62,1,0.882352941,0.675213675,0.294910882,0.754960405,0.055866032,0.353846154,0.520408163
262,271,557,4ae23a21f964a5200a8c21e3,4bf58dd8d48988d101941735,Gym / Fitness Center,40.74902921,-73.99237186,254,1,0.882352941,0.722222222,0.223323171,0.85900047,0.081872967,0.45,0.867346939
263,272,318,4a6f3c21f964a520b0d51fe3,4bf58dd8d48988d10b951735,Video Game Store,40.74910526,-73.9882054,47,1,0.823529412,0.777777778,0.43117378,0.535931886,0.06987141,0.3,0.969387755
264,273,256,4f2729f9e4b067a3297bbda6,4bf58dd8d48988d125941735,Office,40.7451207,-73.99247516,75,1,0.980392157,0.755555556,0.185060976,0.655179693,0.035680561,0.2,0.867346939
270,279,1055,4f7b65c8e4b0c69aa470ae67,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),40.76686967,-73.99496581,199,1,1,0.722222222,0.169969512,0.828206869,0.029443798,0.2,0.040816327
271,280,318,4af6e841f964a5200a0422e3,4bf58dd8d48988d103951735,Clothing Store,40.74951365,-73.98762576,47,1,0.823529412,0.777777778,0.43117378,0.535931886,0.06987141,0.3,0.969387755
272,281,658,4efdd652f9abd5b38e970b86,4bf58dd8d48988d12b951735,Bus Station,40.74405042,-73.97309978,295,1,0.941176471,0.765432099,0.108739837,0.733667554,0.056899813,0.4,0.193877551
273,282,669,4e40041f81dc6ce0fac9ae73,4bf58dd8d48988d1f6941735,Department Store,40.70771001,-74.01056349,29,1,0.960784314,0.688888889,0.122408537,0.77762502,0.032687045,0.4,0.806122449
274,283,951,4b0737c3f964a520e4f922e3,4bf58dd8d48988d1fd931735,Subway,40.75650613,-73.98802757,81,1,0.901960784,0.73015873,0.52820122,0.854408177,0.030092349,0.257142857,0.724489796
279,289,121,4ad68321f964a5208e0721e3,4bf58dd8d48988d1fd931735,Subway,40.73977359,-74.00257587,31,1,1,0.733333333,0.207926829,0.78335348,0.077517593,0.36,0.418367347
282,292,121,4eca75779a52756c591fd414,4bf58dd8d48988d128941735,Office,40.74182628,-74.00381482,31,1,1,0.733333333,0.207926829,0.78335348,0.077517593,0.36,0.418367347
283,293,718,4b521c6cf964a520be6827e3,4bf58dd8d48988d1fd931735,Subway,40.8247747,-73.9442163,233,1,0.980392157,0.733333333,0.01554878,0.91617781,0.066904931,0.6,0.112244898
284,294,121,4f287da5e4b035ea3f4d05d1,4bf58dd8d48988d171941735,Event Space,40.74129321,-74.00299421,31,1,1,0.733333333,0.207926829,0.78335348,0.077517593,0.36,0.418367347
